bengali_date,gregorian_Date
"3 , Boishakh (Baisakh) 1388",16/04/1981
"4 , Boishakh (Baisakh) 1388",17/04/1981
"5 , Boishakh (Baisakh) 1388",18/04/1981
"6 , Boishakh (Baisakh) 1388",19/04/1981
"7 , Boishakh (Baisakh) 1388",20/04/1981
"8 , Boishakh (Baisakh) 1388",21/04/1981
"9 , Boishakh (Baisakh) 1388",22/04/1981
"10 , Boishakh (Baisakh) 1388",23/04/1981
"11 , Boishakh (Baisakh) 1388",24/04/1981
"12 , Boishakh (Baisakh) 1388",25/04/1981
"13 , Boishakh (Baisakh) 1388",26/04/1981
"14 , Boishakh (Baisakh) 1388",27/04/1981
"15 , Boishakh (Baisakh) 1388",28/04/1981
"16 , Boishakh (Baisakh) 1388",29/04/1981
"17 , Boishakh (Baisakh) 1388",30/04/1981
"18 , Boishakh (Baisakh) 1388",01/05/1981
"19 , Boishakh (Baisakh) 1388",02/05/1981
"20 , Boishakh (Baisakh) 1388",03/05/1981
"21 , Boishakh (Baisakh) 1388",04/05/1981
"22 , Boishakh (Baisakh) 1388",05/05/1981
"23 , Boishakh (Baisakh) 1388",06/05/1981
"24 , Boishakh (Baisakh) 1388",07/05/1981
"25 , Boishakh (Baisakh) 1388",08/05/1981
"26 , Boishakh (Baisakh) 1388",09/05/1981
"27 , Boishakh (Baisakh) 1388",10/05/1981
"28 , Boishakh (Baisakh) 1388",11/05/1981
"29 , Boishakh (Baisakh) 1388",12/05/1981
"30 , Boishakh (Baisakh) 1388",13/05/1981
"31 , Boishakh (Baisakh) 1388",14/05/1981
"1 , Joishtho (Jaishtho) 1388",15/05/1981
"2 , Joishtho (Jaishtho) 1388",16/05/1981
"3 , Joishtho (Jaishtho) 1388",17/05/1981
"4 , Joishtho (Jaishtho) 1388",18/05/1981
"5 , Joishtho (Jaishtho) 1388",19/05/1981
"6 , Joishtho (Jaishtho) 1388",20/05/1981
"7 , Joishtho (Jaishtho) 1388",21/05/1981
"8 , Joishtho (Jaishtho) 1388",22/05/1981
"9 , Joishtho (Jaishtho) 1388",23/05/1981
"10 , Joishtho (Jaishtho) 1388",24/05/1981
"11 , Joishtho (Jaishtho) 1388",25/05/1981
"12 , Joishtho (Jaishtho) 1388",26/05/1981
"13 , Joishtho (Jaishtho) 1388",27/05/1981
"14 , Joishtho (Jaishtho) 1388",28/05/1981
"15 , Joishtho (Jaishtho) 1388",29/05/1981
"16 , Joishtho (Jaishtho) 1388",30/05/1981
"17 , Joishtho (Jaishtho) 1388",31/05/1981
"18 , Joishtho (Jaishtho) 1388",01/06/1981
"19 , Joishtho (Jaishtho) 1388",02/06/1981
"20 , Joishtho (Jaishtho) 1388",03/06/1981
"21 , Joishtho (Jaishtho) 1388",04/06/1981
"22 , Joishtho (Jaishtho) 1388",05/06/1981
"23 , Joishtho (Jaishtho) 1388",06/06/1981
"24 , Joishtho (Jaishtho) 1388",07/06/1981
"25 , Joishtho (Jaishtho) 1388",08/06/1981
"26 , Joishtho (Jaishtho) 1388",09/06/1981
"27 , Joishtho (Jaishtho) 1388",10/06/1981
"28 , Joishtho (Jaishtho) 1388",11/06/1981
"29 , Joishtho (Jaishtho) 1388",12/06/1981
"30 , Joishtho (Jaishtho) 1388",13/06/1981
"31 , Joishtho (Jaishtho) 1388",14/06/1981
"32 , Joishtho (Jaishtho) 1388",15/06/1981
"1 , Asharh (Aashar) 1388",16/06/1981
"2 , Asharh (Aashar) 1388",17/06/1981
"3 , Asharh (Aashar) 1388",18/06/1981
"4 , Asharh (Aashar) 1388",19/06/1981
"5 , Asharh (Aashar) 1388",20/06/1981
"6 , Asharh (Aashar) 1388",21/06/1981
"7 , Asharh (Aashar) 1388",22/06/1981
"8 , Asharh (Aashar) 1388",23/06/1981
"9 , Asharh (Aashar) 1388",24/06/1981
"10 , Asharh (Aashar) 1388",25/06/1981
"11 , Asharh (Aashar) 1388",26/06/1981
"12 , Asharh (Aashar) 1388",27/06/1981
"13 , Asharh (Aashar) 1388",28/06/1981
"14 , Asharh (Aashar) 1388",29/06/1981
"15 , Asharh (Aashar) 1388",30/06/1981
"16 , Asharh (Aashar) 1388",01/07/1981
"17 , Asharh (Aashar) 1388",02/07/1981
"18 , Asharh (Aashar) 1388",03/07/1981
"19 , Asharh (Aashar) 1388",04/07/1981
"20 , Asharh (Aashar) 1388",05/07/1981
"21 , Asharh (Aashar) 1388",06/07/1981
"22 , Asharh (Aashar) 1388",07/07/1981
"23 , Asharh (Aashar) 1388",08/07/1981
"24 , Asharh (Aashar) 1388",09/07/1981
"25 , Asharh (Aashar) 1388",10/07/1981
"26 , Asharh (Aashar) 1388",11/07/1981
"27 , Asharh (Aashar) 1388",12/07/1981
"28 , Asharh (Aashar) 1388",13/07/1981
"29 , Asharh (Aashar) 1388",14/07/1981
