gujarati_date,gregorian_date
19 Bhadarvo 2037,"Sep 17, 1981"
20 Bhadarvo 2037,"Sep 18, 1981"
21 Bhadarvo 2037,"Sep 19, 1981"
22 Bhadarvo 2037,"Sep 20, 1981"
23 Bhadarvo 2037,"Sep 21, 1981"
24 Bhadarvo 2037,"Sep 22, 1981"
25 Bhadarvo 2037,"Sep 23, 1981"
26 Bhadarvo 2037,"Sep 24, 1981"
27 Bhadarvo 2037,"Sep 25, 1981"
28 Bhadarvo 2037,"Sep 26, 1981"
29 Bhadarvo 2037,"Sep 27, 1981"
30 Bhadarvo 2037,"Sep 28, 1981"
1 Aaso 2037,"Sep 29, 1981"
2 Aaso 2037,"Sep 30, 1981"
3 Aaso 2037,"Oct 01, 1981"
4 Aaso 2037,"Oct 02, 1981"
5 Aaso 2037,"Oct 03, 1981"
6 Aaso 2037,"Oct 04, 1981"
7 Aaso 2037,"Oct 05, 1981"
8 Aaso 2037,"Oct 06, 1981"
9 Aaso 2037,"Oct 07, 1981"
10 Aaso 2037,"Oct 08, 1981"
11 Aaso 2037,"Oct 09, 1981"
12 Aaso 2037,"Oct 10, 1981"
13 Aaso 2037,"Oct 11, 1981"
14 Aaso 2037,"Oct 12, 1981"
15 Aaso 2037,"Oct 13, 1981"
16 Aaso 2037,"Oct 14, 1981"
17 Aaso 2037,"Oct 15, 1981"
18 Aaso 2037,"Oct 16, 1981"
19 Aaso 2037,"Oct 17, 1981"
20 Aaso 2037,"Oct 18, 1981"
21 Aaso 2037,"Oct 19, 1981"
22 Aaso 2037,"Oct 20, 1981"
23 Aaso 2037,"Oct 21, 1981"
24 Aaso 2037,"Oct 22, 1981"
25 Aaso 2037,"Oct 23, 1981"
26 Aaso 2037,"Oct 24, 1981"
27 Aaso 2037,"Oct 25, 1981"
28 Aaso 2037,"Oct 26, 1981"
29 Aaso 2037,"Oct 27, 1981"
1 Kartak 2037,"Oct 28, 1981"
2 Kartak 2037,"Oct 29, 1981"
3 Kartak 2037,"Oct 30, 1981"
4 Kartak 2037,"Oct 31, 1981"
5 Kartak 2037,"Nov 01, 1981"
6 Kartak 2037,"Nov 02, 1981"
7 Kartak 2037,"Nov 03, 1981"
8 Kartak 2037,"Nov 04, 1981"
9 Kartak 2037,"Nov 05, 1981"
10 Kartak 2037,"Nov 06, 1981"
11 Kartak 2037,"Nov 07, 1981"
12 Kartak 2037,"Nov 08, 1981"
13 Kartak 2037,"Nov 09, 1981"
14 Kartak 2037,"Nov 10, 1981"
15 Kartak 2037,"Nov 11, 1981"
16 Kartak 2037,"Nov 12, 1981"
17 Kartak 2037,"Nov 13, 1981"
18 Kartak 2037,"Nov 14, 1981"
19 Kartak 2037,"Nov 15, 1981"
20 Kartak 2037,"Nov 16, 1981"
21 Kartak 2037,"Nov 17, 1981"
22 Kartak 2037,"Nov 18, 1981"
23 Kartak 2037,"Nov 19, 1981"
24 Kartak 2037,"Nov 20, 1981"
25 Kartak 2037,"Nov 21, 1981"
26 Kartak 2037,"Nov 22, 1981"
27 Kartak 2037,"Nov 23, 1981"
28 Kartak 2037,"Nov 24, 1981"
29 Kartak 2037,"Nov 25, 1981"
30 Kartak 2037,"Nov 26, 1981"
1 Magasar 2037,"Nov 27, 1981"
2 Magasar 2037,"Nov 28, 1981"
3 Magasar 2037,"Nov 29, 1981"
4 Magasar 2037,"Nov 30, 1981"
5 Magasar 2037,"Dec 01, 1981"
6 Magasar 2037,"Dec 02, 1981"
7 Magasar 2037,"Dec 03, 1981"
8 Magasar 2037,"Dec 04, 1981"
9 Magasar 2037,"Dec 05, 1981"
10 Magasar 2037,"Dec 06, 1981"
11 Magasar 2037,"Dec 07, 1981"
12 Magasar 2037,"Dec 08, 1981"
13 Magasar 2037,"Dec 09, 1981"
14 Magasar 2037,"Dec 10, 1981"
15 Magasar 2037,"Dec 11, 1981"
16 Magasar 2037,"Dec 12, 1981"
17 Magasar 2037,"Dec 13, 1981"
18 Magasar 2037,"Dec 14, 1981"
19 Magasar 2037,"Dec 15, 1981"
20 Magasar 2037,"Dec 16, 1981"
21 Magasar 2037,"Dec 17, 1981"
22 Magasar 2037,"Dec 18, 1981"
23 Magasar 2037,"Dec 19, 1981"
24 Magasar 2037,"Dec 20, 1981"
25 Magasar 2037,"Dec 21, 1981"
26 Magasar 2037,"Dec 22, 1981"
27 Magasar 2037,"Dec 23, 1981"
28 Magasar 2037,"Dec 24, 1981"
29 Magasar 2037,"Dec 25, 1981"
30 Magasar 2037,"Dec 26, 1981"
1 Posh 2037,"Dec 27, 1981"
2 Posh 2037,"Dec 28, 1981"
3 Posh 2037,"Dec 29, 1981"
4 Posh 2037,"Dec 30, 1981"
5 Posh 2037,"Dec 31, 1981"
6 Posh 2037,"Jan 01, 1982"
7 Posh 2037,"Jan 02, 1982"
8 Posh 2037,"Jan 03, 1982"
9 Posh 2037,"Jan 04, 1982"
10 Posh 2037,"Jan 05, 1982"
11 Posh 2037,"Jan 06, 1982"
12 Posh 2037,"Jan 07, 1982"
13 Posh 2037,"Jan 08, 1982"
14 Posh 2037,"Jan 09, 1982"
15 Posh 2037,"Jan 10, 1982"
16 Posh 2037,"Jan 11, 1982"
17 Posh 2037,"Jan 12, 1982"
18 Posh 2037,"Jan 13, 1982"
19 Posh 2037,"Jan 14, 1982"
20 Posh 2037,"Jan 15, 1982"
21 Posh 2037,"Jan 16, 1982"
22 Posh 2037,"Jan 17, 1982"
23 Posh 2037,"Jan 18, 1982"
24 Posh 2037,"Jan 19, 1982"
25 Posh 2037,"Jan 20, 1982"
26 Posh 2037,"Jan 21, 1982"
27 Posh 2037,"Jan 22, 1982"
28 Posh 2037,"Jan 23, 1982"
29 Posh 2037,"Jan 24, 1982"
30 Posh 2037,"Jan 25, 1982"
1 Maha 2038,"Jan 26, 1982"
2 Maha 2038,"Jan 27, 1982"
3 Maha 2038,"Jan 28, 1982"
4 Maha 2038,"Jan 29, 1982"
5 Maha 2038,"Jan 30, 1982"
6 Maha 2038,"Jan 31, 1982"
7 Maha 2038,"Feb 01, 1982"
8 Maha 2038,"Feb 02, 1982"
9 Maha 2038,"Feb 03, 1982"
10 Maha 2038,"Feb 04, 1982"
11 Maha 2038,"Feb 05, 1982"
12 Maha 2038,"Feb 06, 1982"
13 Maha 2038,"Feb 07, 1982"
14 Maha 2038,"Feb 08, 1982"
15 Maha 2038,"Feb 09, 1982"
16 Maha 2038,"Feb 10, 1982"
17 Maha 2038,"Feb 11, 1982"
18 Maha 2038,"Feb 12, 1982"
19 Maha 2038,"Feb 13, 1982"
20 Maha 2038,"Feb 14, 1982"
21 Maha 2038,"Feb 15, 1982"
22 Maha 2038,"Feb 16, 1982"
23 Maha 2038,"Feb 17, 1982"
24 Maha 2038,"Feb 18, 1982"
25 Maha 2038,"Feb 19, 1982"
26 Maha 2038,"Feb 20, 1982"
27 Maha 2038,"Feb 21, 1982"
28 Maha 2038,"Feb 22, 1982"
29 Maha 2038,"Feb 23, 1982"
1 Phaguna 2038,"Feb 24, 1982"
2 Phaguna 2038,"Feb 25, 1982"
3 Phaguna 2038,"Feb 26, 1982"
4 Phaguna 2038,"Feb 27, 1982"
5 Phaguna 2038,"Feb 28, 1982"
6 Phaguna 2038,"Mar 01, 1982"
7 Phaguna 2038,"Mar 02, 1982"
8 Phaguna 2038,"Mar 03, 1982"
9 Phaguna 2038,"Mar 04, 1982"
10 Phaguna 2038,"Mar 05, 1982"
11 Phaguna 2038,"Mar 06, 1982"
12 Phaguna 2038,"Mar 07, 1982"
13 Phaguna 2038,"Mar 08, 1982"
14 Phaguna 2038,"Mar 09, 1982"
15 Phaguna 2038,"Mar 10, 1982"
16 Phaguna 2038,"Mar 11, 1982"
17 Phaguna 2038,"Mar 12, 1982"
18 Phaguna 2038,"Mar 13, 1982"
19 Phaguna 2038,"Mar 14, 1982"
20 Phaguna 2038,"Mar 15, 1982"
21 Phaguna 2038,"Mar 16, 1982"
22 Phaguna 2038,"Mar 17, 1982"
23 Phaguna 2038,"Mar 18, 1982"
24 Phaguna 2038,"Mar 19, 1982"
25 Phaguna 2038,"Mar 20, 1982"
26 Phaguna 2038,"Mar 21, 1982"
27 Phaguna 2038,"Mar 22, 1982"
28 Phaguna 2038,"Mar 23, 1982"
29 Phaguna 2038,"Mar 24, 1982"
30 Phaguna 2038,"Mar 25, 1982"
1 Chaitra 2038,"Mar 26, 1982"
2 Chaitra 2038,"Mar 27, 1982"
3 Chaitra 2038,"Mar 28, 1982"
4 Chaitra 2038,"Mar 29, 1982"
5 Chaitra 2038,"Mar 30, 1982"
6 Chaitra 2038,"Mar 31, 1982"
7 Chaitra 2038,"Apr 01, 1982"
8 Chaitra 2038,"Apr 02, 1982"
9 Chaitra 2038,"Apr 03, 1982"
10 Chaitra 2038,"Apr 04, 1982"
11 Chaitra 2038,"Apr 05, 1982"
12 Chaitra 2038,"Apr 06, 1982"
13 Chaitra 2038,"Apr 07, 1982"
14 Chaitra 2038,"Apr 08, 1982"
15 Chaitra 2038,"Apr 09, 1982"
16 Chaitra 2038,"Apr 10, 1982"
17 Chaitra 2038,"Apr 11, 1982"
18 Chaitra 2038,"Apr 12, 1982"
19 Chaitra 2038,"Apr 13, 1982"
20 Chaitra 2038,"Apr 14, 1982"
21 Chaitra 2038,"Apr 15, 1982"
22 Chaitra 2038,"Apr 16, 1982"
23 Chaitra 2038,"Apr 17, 1982"
24 Chaitra 2038,"Apr 18, 1982"
25 Chaitra 2038,"Apr 19, 1982"
26 Chaitra 2038,"Apr 20, 1982"
27 Chaitra 2038,"Apr 21, 1982"
28 Chaitra 2038,"Apr 22, 1982"
29 Chaitra 2038,"Apr 23, 1982"
1 Vaishakha 2038,"Apr 24, 1982"
2 Vaishakha 2038,"Apr 25, 1982"
3 Vaishakha 2038,"Apr 26, 1982"
4 Vaishakha 2038,"Apr 27, 1982"
5 Vaishakha 2038,"Apr 28, 1982"
6 Vaishakha 2038,"Apr 29, 1982"
7 Vaishakha 2038,"Apr 30, 1982"
8 Vaishakha 2038,"May 01, 1982"
9 Vaishakha 2038,"May 02, 1982"
10 Vaishakha 2038,"May 03, 1982"
11 Vaishakha 2038,"May 04, 1982"
12 Vaishakha 2038,"May 05, 1982"
13 Vaishakha 2038,"May 06, 1982"
14 Vaishakha 2038,"May 07, 1982"
15 Vaishakha 2038,"May 08, 1982"
16 Vaishakha 2038,"May 09, 1982"
17 Vaishakha 2038,"May 10, 1982"
18 Vaishakha 2038,"May 11, 1982"
19 Vaishakha 2038,"May 12, 1982"
20 Vaishakha 2038,"May 13, 1982"
21 Vaishakha 2038,"May 14, 1982"
22 Vaishakha 2038,"May 15, 1982"
23 Vaishakha 2038,"May 16, 1982"
24 Vaishakha 2038,"May 17, 1982"
25 Vaishakha 2038,"May 18, 1982"
26 Vaishakha 2038,"May 19, 1982"
27 Vaishakha 2038,"May 20, 1982"
28 Vaishakha 2038,"May 21, 1982"
29 Vaishakha 2038,"May 22, 1982"
30 Vaishakha 2038,"May 23, 1982"
1 Jyeshta 2038,"May 24, 1982"
2 Jyeshta 2038,"May 25, 1982"
3 Jyeshta 2038,"May 26, 1982"
4 Jyeshta 2038,"May 27, 1982"
5 Jyeshta 2038,"May 28, 1982"
6 Jyeshta 2038,"May 29, 1982"
7 Jyeshta 2038,"May 30, 1982"
8 Jyeshta 2038,"May 31, 1982"
9 Jyeshta 2038,"Jun 01, 1982"
10 Jyeshta 2038,"Jun 02, 1982"
11 Jyeshta 2038,"Jun 03, 1982"
12 Jyeshta 2038,"Jun 04, 1982"
13 Jyeshta 2038,"Jun 05, 1982"
14 Jyeshta 2038,"Jun 06, 1982"
15 Jyeshta 2038,"Jun 07, 1982"
16 Jyeshta 2038,"Jun 08, 1982"
17 Jyeshta 2038,"Jun 09, 1982"
18 Jyeshta 2038,"Jun 10, 1982"
19 Jyeshta 2038,"Jun 11, 1982"
20 Jyeshta 2038,"Jun 12, 1982"
21 Jyeshta 2038,"Jun 13, 1982"
22 Jyeshta 2038,"Jun 14, 1982"
23 Jyeshta 2038,"Jun 15, 1982"
24 Jyeshta 2038,"Jun 16, 1982"
25 Jyeshta 2038,"Jun 17, 1982"
26 Jyeshta 2038,"Jun 18, 1982"
27 Jyeshta 2038,"Jun 19, 1982"
28 Jyeshta 2038,"Jun 20, 1982"
29 Jyeshta 2038,"Jun 21, 1982"
1 Ashadha 2038,"Jun 22, 1982"
2 Ashadha 2038,"Jun 23, 1982"
3 Ashadha 2038,"Jun 24, 1982"
4 Ashadha 2038,"Jun 25, 1982"
5 Ashadha 2038,"Jun 26, 1982"
6 Ashadha 2038,"Jun 27, 1982"
7 Ashadha 2038,"Jun 28, 1982"
8 Ashadha 2038,"Jun 29, 1982"
9 Ashadha 2038,"Jun 30, 1982"
10 Ashadha 2038,"Jul 01, 1982"
11 Ashadha 2038,"Jul 02, 1982"
12 Ashadha 2038,"Jul 03, 1982"
13 Ashadha 2038,"Jul 04, 1982"
14 Ashadha 2038,"Jul 05, 1982"
15 Ashadha 2038,"Jul 06, 1982"
16 Ashadha 2038,"Jul 07, 1982"
17 Ashadha 2038,"Jul 08, 1982"
18 Ashadha 2038,"Jul 09, 1982"
19 Ashadha 2038,"Jul 10, 1982"
20 Ashadha 2038,"Jul 11, 1982"
21 Ashadha 2038,"Jul 12, 1982"
22 Ashadha 2038,"Jul 13, 1982"
23 Ashadha 2038,"Jul 14, 1982"
24 Ashadha 2038,"Jul 15, 1982"
25 Ashadha 2038,"Jul 16, 1982"
26 Ashadha 2038,"Jul 17, 1982"
27 Ashadha 2038,"Jul 18, 1982"
28 Ashadha 2038,"Jul 19, 1982"
29 Ashadha 2038,"Jul 20, 1982"
1 Shravana 2038,"Jul 21, 1982"
2 Shravana 2038,"Jul 22, 1982"
3 Shravana 2038,"Jul 23, 1982"
4 Shravana 2038,"Jul 24, 1982"
5 Shravana 2038,"Jul 25, 1982"
6 Shravana 2038,"Jul 26, 1982"
7 Shravana 2038,"Jul 27, 1982"
8 Shravana 2038,"Jul 28, 1982"
9 Shravana 2038,"Jul 29, 1982"
10 Shravana 2038,"Jul 30, 1982"
11 Shravana 2038,"Jul 31, 1982"
12 Shravana 2038,"Aug 01, 1982"
13 Shravana 2038,"Aug 02, 1982"
14 Shravana 2038,"Aug 03, 1982"
15 Shravana 2038,"Aug 04, 1982"
16 Shravana 2038,"Aug 05, 1982"
17 Shravana 2038,"Aug 06, 1982"
18 Shravana 2038,"Aug 07, 1982"
19 Shravana 2038,"Aug 08, 1982"
20 Shravana 2038,"Aug 09, 1982"
21 Shravana 2038,"Aug 10, 1982"
22 Shravana 2038,"Aug 11, 1982"
23 Shravana 2038,"Aug 12, 1982"
24 Shravana 2038,"Aug 13, 1982"
25 Shravana 2038,"Aug 14, 1982"
26 Shravana 2038,"Aug 15, 1982"
27 Shravana 2038,"Aug 16, 1982"
28 Shravana 2038,"Aug 17, 1982"
29 Shravana 2038,"Aug 18, 1982"
30 Shravana 2038,"Aug 19, 1982"
1 Bhadarvo 2038,"Aug 20, 1982"
2 Bhadarvo 2038,"Aug 21, 1982"
3 Bhadarvo 2038,"Aug 22, 1982"
4 Bhadarvo 2038,"Aug 23, 1982"
5 Bhadarvo 2038,"Aug 24, 1982"
6 Bhadarvo 2038,"Aug 25, 1982"
7 Bhadarvo 2038,"Aug 26, 1982"
8 Bhadarvo 2038,"Aug 27, 1982"
9 Bhadarvo 2038,"Aug 28, 1982"
10 Bhadarvo 2038,"Aug 29, 1982"
11 Bhadarvo 2038,"Aug 30, 1982"
12 Bhadarvo 2038,"Aug 31, 1982"
13 Bhadarvo 2038,"Sep 01, 1982"
14 Bhadarvo 2038,"Sep 02, 1982"
15 Bhadarvo 2038,"Sep 03, 1982"
16 Bhadarvo 2038,"Sep 04, 1982"
17 Bhadarvo 2038,"Sep 05, 1982"
18 Bhadarvo 2038,"Sep 06, 1982"
19 Bhadarvo 2038,"Sep 07, 1982"
20 Bhadarvo 2038,"Sep 08, 1982"
21 Bhadarvo 2038,"Sep 09, 1982"
22 Bhadarvo 2038,"Sep 10, 1982"
23 Bhadarvo 2038,"Sep 11, 1982"
24 Bhadarvo 2038,"Sep 12, 1982"
25 Bhadarvo 2038,"Sep 13, 1982"
26 Bhadarvo 2038,"Sep 14, 1982"
27 Bhadarvo 2038,"Sep 15, 1982"
28 Bhadarvo 2038,"Sep 16, 1982"
29 Bhadarvo 2038,"Sep 17, 1982"
1 Aaso_Adhik 2038,"Sep 18, 1982"
2 Aaso_Adhik 2038,"Sep 19, 1982"
3 Aaso_Adhik 2038,"Sep 20, 1982"
4 Aaso_Adhik 2038,"Sep 21, 1982"
5 Aaso_Adhik 2038,"Sep 22, 1982"
6 Aaso_Adhik 2038,"Sep 23, 1982"
7 Aaso_Adhik 2038,"Sep 24, 1982"
8 Aaso_Adhik 2038,"Sep 25, 1982"
9 Aaso_Adhik 2038,"Sep 26, 1982"
10 Aaso_Adhik 2038,"Sep 27, 1982"
11 Aaso_Adhik 2038,"Sep 28, 1982"
12 Aaso_Adhik 2038,"Sep 29, 1982"
13 Aaso_Adhik 2038,"Sep 30, 1982"
14 Aaso_Adhik 2038,"Oct 01, 1982"
15 Aaso_Adhik 2038,"Oct 02, 1982"
16 Aaso_Adhik 2038,"Oct 03, 1982"
17 Aaso_Adhik 2038,"Oct 04, 1982"
18 Aaso_Adhik 2038,"Oct 05, 1982"
19 Aaso_Adhik 2038,"Oct 06, 1982"
20 Aaso_Adhik 2038,"Oct 07, 1982"
21 Aaso_Adhik 2038,"Oct 08, 1982"
22 Aaso_Adhik 2038,"Oct 09, 1982"
23 Aaso_Adhik 2038,"Oct 10, 1982"
24 Aaso_Adhik 2038,"Oct 11, 1982"
25 Aaso_Adhik 2038,"Oct 12, 1982"
26 Aaso_Adhik 2038,"Oct 13, 1982"
27 Aaso_Adhik 2038,"Oct 14, 1982"
28 Aaso_Adhik 2038,"Oct 15, 1982"
29 Aaso_Adhik 2038,"Oct 16, 1982"
1 Aaso 2038,"Oct 17, 1982"
2 Aaso 2038,"Oct 18, 1982"
3 Aaso 2038,"Oct 19, 1982"
4 Aaso 2038,"Oct 20, 1982"
5 Aaso 2038,"Oct 21, 1982"
6 Aaso 2038,"Oct 22, 1982"
7 Aaso 2038,"Oct 23, 1982"
8 Aaso 2038,"Oct 24, 1982"
9 Aaso 2038,"Oct 25, 1982"
10 Aaso 2038,"Oct 26, 1982"
11 Aaso 2038,"Oct 27, 1982"
12 Aaso 2038,"Oct 28, 1982"
13 Aaso 2038,"Oct 29, 1982"
14 Aaso 2038,"Oct 30, 1982"
15 Aaso 2038,"Oct 31, 1982"
16 Aaso 2038,"Nov 01, 1982"
17 Aaso 2038,"Nov 02, 1982"
18 Aaso 2038,"Nov 03, 1982"
19 Aaso 2038,"Nov 04, 1982"
20 Aaso 2038,"Nov 05, 1982"
21 Aaso 2038,"Nov 06, 1982"
22 Aaso 2038,"Nov 07, 1982"
23 Aaso 2038,"Nov 08, 1982"
24 Aaso 2038,"Nov 09, 1982"
25 Aaso 2038,"Nov 10, 1982"
26 Aaso 2038,"Nov 11, 1982"
27 Aaso 2038,"Nov 12, 1982"
28 Aaso 2038,"Nov 13, 1982"
29 Aaso 2038,"Nov 14, 1982"
30 Aaso 2038,"Nov 15, 1982"
1 Kartak 2038,"Nov 16, 1982"
2 Kartak 2038,"Nov 17, 1982"
3 Kartak 2038,"Nov 18, 1982"
4 Kartak 2038,"Nov 19, 1982"
5 Kartak 2038,"Nov 20, 1982"
6 Kartak 2038,"Nov 21, 1982"
7 Kartak 2038,"Nov 22, 1982"
8 Kartak 2038,"Nov 23, 1982"
9 Kartak 2038,"Nov 24, 1982"
10 Kartak 2038,"Nov 25, 1982"
11 Kartak 2038,"Nov 26, 1982"
12 Kartak 2038,"Nov 27, 1982"
13 Kartak 2038,"Nov 28, 1982"
14 Kartak 2038,"Nov 29, 1982"
15 Kartak 2038,"Nov 30, 1982"
16 Kartak 2038,"Dec 01, 1982"
17 Kartak 2038,"Dec 02, 1982"
18 Kartak 2038,"Dec 03, 1982"
19 Kartak 2038,"Dec 04, 1982"
20 Kartak 2038,"Dec 05, 1982"
21 Kartak 2038,"Dec 06, 1982"
22 Kartak 2038,"Dec 07, 1982"
23 Kartak 2038,"Dec 08, 1982"
24 Kartak 2038,"Dec 09, 1982"
25 Kartak 2038,"Dec 10, 1982"
26 Kartak 2038,"Dec 11, 1982"
27 Kartak 2038,"Dec 12, 1982"
28 Kartak 2038,"Dec 13, 1982"
29 Kartak 2038,"Dec 14, 1982"
30 Kartak 2038,"Dec 15, 1982"
1 Magasar 2038,"Dec 16, 1982"
2 Magasar 2038,"Dec 17, 1982"
3 Magasar 2038,"Dec 18, 1982"
4 Magasar 2038,"Dec 19, 1982"
5 Magasar 2038,"Dec 20, 1982"
6 Magasar 2038,"Dec 21, 1982"
7 Magasar 2038,"Dec 22, 1982"
8 Magasar 2038,"Dec 23, 1982"
9 Magasar 2038,"Dec 24, 1982"
10 Magasar 2038,"Dec 25, 1982"
11 Magasar 2038,"Dec 26, 1982"
12 Magasar 2038,"Dec 27, 1982"
13 Magasar 2038,"Dec 28, 1982"
14 Magasar 2038,"Dec 29, 1982"
15 Magasar 2038,"Dec 30, 1982"
16 Magasar 2038,"Dec 31, 1982"
17 Magasar 2038,"Jan 01, 1983"
18 Magasar 2038,"Jan 02, 1983"
19 Magasar 2038,"Jan 03, 1983"
20 Magasar 2038,"Jan 04, 1983"
21 Magasar 2038,"Jan 05, 1983"
22 Magasar 2038,"Jan 06, 1983"
23 Magasar 2038,"Jan 07, 1983"
24 Magasar 2038,"Jan 08, 1983"
25 Magasar 2038,"Jan 09, 1983"
26 Magasar 2038,"Jan 10, 1983"
27 Magasar 2038,"Jan 11, 1983"
28 Magasar 2038,"Jan 12, 1983"
29 Magasar 2038,"Jan 13, 1983"
30 Magasar 2038,"Jan 14, 1983"
1 Posh 2039,"Jan 15, 1983"
2 Posh 2039,"Jan 16, 1983"
3 Posh 2039,"Jan 17, 1983"
4 Posh 2039,"Jan 18, 1983"
5 Posh 2039,"Jan 19, 1983"
6 Posh 2039,"Jan 20, 1983"
7 Posh 2039,"Jan 21, 1983"
8 Posh 2039,"Jan 22, 1983"
9 Posh 2039,"Jan 23, 1983"
10 Posh 2039,"Jan 24, 1983"
11 Posh 2039,"Jan 25, 1983"
12 Posh 2039,"Jan 26, 1983"
13 Posh 2039,"Jan 27, 1983"
14 Posh 2039,"Jan 28, 1983"
15 Posh 2039,"Jan 29, 1983"
16 Posh 2039,"Jan 30, 1983"
17 Posh 2039,"Jan 31, 1983"
18 Posh 2039,"Feb 01, 1983"
19 Posh 2039,"Feb 02, 1983"
20 Posh 2039,"Feb 03, 1983"
21 Posh 2039,"Feb 04, 1983"
22 Posh 2039,"Feb 05, 1983"
23 Posh 2039,"Feb 06, 1983"
24 Posh 2039,"Feb 07, 1983"
25 Posh 2039,"Feb 08, 1983"
26 Posh 2039,"Feb 09, 1983"
27 Posh 2039,"Feb 10, 1983"
28 Posh 2039,"Feb 11, 1983"
29 Posh 2039,"Feb 12, 1983"
1 Phaguna_Adhik 2039,"Feb 13, 1983"
2 Phaguna_Adhik 2039,"Feb 14, 1983"
3 Phaguna_Adhik 2039,"Feb 15, 1983"
4 Phaguna_Adhik 2039,"Feb 16, 1983"
5 Phaguna_Adhik 2039,"Feb 17, 1983"
6 Phaguna_Adhik 2039,"Feb 18, 1983"
7 Phaguna_Adhik 2039,"Feb 19, 1983"
8 Phaguna_Adhik 2039,"Feb 20, 1983"
9 Phaguna_Adhik 2039,"Feb 21, 1983"
10 Phaguna_Adhik 2039,"Feb 22, 1983"
11 Phaguna_Adhik 2039,"Feb 23, 1983"
12 Phaguna_Adhik 2039,"Feb 24, 1983"
13 Phaguna_Adhik 2039,"Feb 25, 1983"
14 Phaguna_Adhik 2039,"Feb 26, 1983"
15 Phaguna_Adhik 2039,"Feb 27, 1983"
16 Phaguna_Adhik 2039,"Feb 28, 1983"
17 Phaguna_Adhik 2039,"Mar 01, 1983"
18 Phaguna_Adhik 2039,"Mar 02, 1983"
19 Phaguna_Adhik 2039,"Mar 03, 1983"
20 Phaguna_Adhik 2039,"Mar 04, 1983"
21 Phaguna_Adhik 2039,"Mar 05, 1983"
22 Phaguna_Adhik 2039,"Mar 06, 1983"
23 Phaguna_Adhik 2039,"Mar 07, 1983"
24 Phaguna_Adhik 2039,"Mar 08, 1983"
25 Phaguna_Adhik 2039,"Mar 09, 1983"
26 Phaguna_Adhik 2039,"Mar 10, 1983"
27 Phaguna_Adhik 2039,"Mar 11, 1983"
28 Phaguna_Adhik 2039,"Mar 12, 1983"
29 Phaguna_Adhik 2039,"Mar 13, 1983"
30 Phaguna_Adhik 2039,"Mar 14, 1983"
1 Phaguna 2039,"Mar 15, 1983"
2 Phaguna 2039,"Mar 16, 1983"
3 Phaguna 2039,"Mar 17, 1983"
4 Phaguna 2039,"Mar 18, 1983"
5 Phaguna 2039,"Mar 19, 1983"
6 Phaguna 2039,"Mar 20, 1983"
7 Phaguna 2039,"Mar 21, 1983"
8 Phaguna 2039,"Mar 22, 1983"
9 Phaguna 2039,"Mar 23, 1983"
10 Phaguna 2039,"Mar 24, 1983"
11 Phaguna 2039,"Mar 25, 1983"
12 Phaguna 2039,"Mar 26, 1983"
13 Phaguna 2039,"Mar 27, 1983"
14 Phaguna 2039,"Mar 28, 1983"
15 Phaguna 2039,"Mar 29, 1983"
16 Phaguna 2039,"Mar 30, 1983"
17 Phaguna 2039,"Mar 31, 1983"
18 Phaguna 2039,"Apr 01, 1983"
19 Phaguna 2039,"Apr 02, 1983"
20 Phaguna 2039,"Apr 03, 1983"
21 Phaguna 2039,"Apr 04, 1983"
22 Phaguna 2039,"Apr 05, 1983"
23 Phaguna 2039,"Apr 06, 1983"
24 Phaguna 2039,"Apr 07, 1983"
25 Phaguna 2039,"Apr 08, 1983"
26 Phaguna 2039,"Apr 09, 1983"
27 Phaguna 2039,"Apr 10, 1983"
28 Phaguna 2039,"Apr 11, 1983"
29 Phaguna 2039,"Apr 12, 1983"
30 Phaguna 2039,"Apr 13, 1983"
1 Chaitra 2039,"Apr 14, 1983"
2 Chaitra 2039,"Apr 15, 1983"
3 Chaitra 2039,"Apr 16, 1983"
4 Chaitra 2039,"Apr 17, 1983"
5 Chaitra 2039,"Apr 18, 1983"
6 Chaitra 2039,"Apr 19, 1983"
7 Chaitra 2039,"Apr 20, 1983"
8 Chaitra 2039,"Apr 21, 1983"
9 Chaitra 2039,"Apr 22, 1983"
10 Chaitra 2039,"Apr 23, 1983"
11 Chaitra 2039,"Apr 24, 1983"
12 Chaitra 2039,"Apr 25, 1983"
13 Chaitra 2039,"Apr 26, 1983"
14 Chaitra 2039,"Apr 27, 1983"
15 Chaitra 2039,"Apr 28, 1983"
16 Chaitra 2039,"Apr 29, 1983"
17 Chaitra 2039,"Apr 30, 1983"
18 Chaitra 2039,"May 01, 1983"
19 Chaitra 2039,"May 02, 1983"
20 Chaitra 2039,"May 03, 1983"
21 Chaitra 2039,"May 04, 1983"
22 Chaitra 2039,"May 05, 1983"
23 Chaitra 2039,"May 06, 1983"
24 Chaitra 2039,"May 07, 1983"
25 Chaitra 2039,"May 08, 1983"
26 Chaitra 2039,"May 09, 1983"
27 Chaitra 2039,"May 10, 1983"
28 Chaitra 2039,"May 11, 1983"
29 Chaitra 2039,"May 12, 1983"
1 Vaishakha 2039,"May 13, 1983"
2 Vaishakha 2039,"May 14, 1983"
3 Vaishakha 2039,"May 15, 1983"
4 Vaishakha 2039,"May 16, 1983"
5 Vaishakha 2039,"May 17, 1983"
6 Vaishakha 2039,"May 18, 1983"
7 Vaishakha 2039,"May 19, 1983"
8 Vaishakha 2039,"May 20, 1983"
